Мужской	До 18	Высшее	Оба варианта
Женский	18 - 25	Неоконченное высшее	НьютОн
Женский	18 - 25	Неоконченное высшее	НьютОн
Женский	18 - 25	Неоконченное высшее	Оба варианта
Женский	48+	Высшее	НьЮтон
Женский	18 - 25	Неоконченное среднее	НьЮтон
Мужской	36 - 47	Высшее	Оба варианта
Женский	26 - 35	Среднее	НьютОн
Женский	18 - 25	Неоконченное высшее	Оба варианта
Женский	18 - 25	Неоконченное высшее	Оба варианта
Мужской	36 - 47	Среднее	НьютОн
Мужской	36 - 47	Высшее	НьЮтон
Женский	36 - 47	Высшее	НьютОн
Женский	До 18	Среднее	Оба варианта
Мужской	До 18	Неоконченное среднее	НьютОн
Мужской	36 - 47	Среднее	НьЮтон
Женский	36 - 47	Неоконченное высшее	Оба варианта
Женский	18 - 25	Среднее	НьЮтон
Мужской	26 - 35	Высшее	НьЮтон
Женский	18 - 25	Среднее	НьЮтон
Женский	До 18	Неоконченное среднее	НьЮтон
Мужской	18 - 25	Среднее	Оба варианта
Мужской	48+	Высшее	Оба варианта
Мужской	До 18	Неоконченное среднее	НьютОн
Женский	18 - 25	Неоконченное высшее	НьЮтон
Мужской	48+	Высшее	НьютОн
Мужской	26 - 35	Неоконченное высшее	НьютОн
Мужской	До 18	Неоконченное среднее	НьЮтон
Женский	36 - 47	Высшее	Оба варианта
Женский	36 - 47	Неоконченное высшее	НьЮтон
Мужской	26 - 35	Неоконченное высшее	Оба варианта
Женский	18 - 25	Неоконченное среднее	НьютОн
Женский	26 - 35	Неоконченное среднее	Оба варианта
Мужской	До 18	Неоконченное среднее	НьЮтон
Женский	36 - 47	Среднее	Оба варианта
Женский	18 - 25	Неоконченное среднее	НьЮтон
Мужской	18 - 25	Неоконченное высшее	Оба варианта
